op nemo opr     # tbus    fbus    true_seq            false_seq
-- ---  ----    - ---     ---     --------            ---------
00 NOP  -       1 N       -       N                   -
01 HALT -       1 N       -       N:d                 -
02 DI   -       1 N       -       N                   -
03 EI   -       1 N       -       N                   -
04 -    -       0 -       -       -                   -
05 -    -       0 -       -       -                   -
06 -    -       0 -       -       -                   -
07 INCX (n)     2 ENF     N       2:d:E:N:F           2:d:N
08 EX   DE,HL   1 N       -       N                   -
09 EX   AF,AF'  1 N       -       N                   -
0A EXX  -       1 N       -       N                   -
0B DAA  A       1 N       -       N:d                 -
0C RCF  -       1 N       -       N                   -
0D SCF  -       1 N       -       N                   -
0E CCF  -       1 N       -       N                   -
0F DECX (n)     2 ENF     N       2:d:E:N:F           2:d:N
10 CPL  A       1 N       -       N                   -
11 NEG  A       1 N       -       N                   -
12 MUL  HL,n    2 N       -       2:d:d:d:d:d:d:N     -
13 DIV  HL,n    2 N       -       2:d:d:d:d:d:d:N     -
14 ADD  IX,mn   3 N       -       2:3:N               -
15 ADD  IY,mn   3 N       -       2:3:N               -
16 ADD  SP,mn   3 N       -       2:3:N               -
17 LDAR HL,cd   3 N       -       2:3:N:d             -
18 DJNZ d       2 B       N       2:d:d:d:B           2:d:d:d:N
19 DJNZ BC,d    2 B       N       2:d:d:d:B           2:d:d:d:N
1A JP   mn      3 1       -       2:3:d:1             -
1B JRL  cd      3 1       -       2:3:d:d:1           -
1C CALL mn      3 wW1     -       2:3:d:d:w:W:1       -
1D CALR cd      3 wW1     -       2:3:d:d:d:w:W:1     -
1E RET  -       1 nRr1    -       n:R:r:d:1           -
1F RETI -       1 nRrSs1  -       n:R:r:S:s:d:1       -
20 LD   A,B     1 N       -       N                   -
21 LD   A,C     1 N       -       N                   -
22 LD   A,D     1 N       -       N                   -
23 LD   A,E     1 N       -       N                   -
24 LD   A,H     1 N       -       N                   -
25 LD   A,L     1 N       -       N                   -
26 LD   A,A     1 N       -       N                   -
27 LD   A,(n)   2 EN      -       2:d:E:N             -
28 LD   B,A     1 N       -       N                   -
29 LD   C,A     1 N       -       N                   -
2A LD   D,A     1 N       -       N                   -
2B LD   E,A     1 N       -       N                   -
2C LD   H,A     1 N       -       N                   -
2D LD   L,A     1 N       -       N                   -
2E LD   A,A     1 N       -       N                   -
2F LD   (n),A   2 NF      -       2:d:N:F             -
30 LD   B,n     2 N       -       2:N                 -
31 LD   C,n     2 N       -       2:N                 -
32 LD   D,n     2 N       -       2:N                 -
33 LD   E,n     2 N       -       2:N                 -
34 LD   H,n     2 N       -       2:N                 -
35 LD   L,n     2 N       -       2:N                 -
36 LD   A,n     2 N       -       2:N                 -
37 LD   (w),n   3 FN      -       2:d:3:F:N           -
38 LD   BC,mn   3 N       -       2:3:N               -
39 LD   DE,mn   3 N       -       2:3:N               -
3A LD   HL,mn   3 N       -       2:3:N               -
3B -    -       0 -       -       -                   -
3C LD   IX,mn   3 N       -       2:3:N               -
3D LD   IY,mn   3 N       -       2:3:N               -
3E LD   SP,mn   3 N       -       2:3:N               -
3F LDW  (w),mn  4 NFf     -       2:d:3:4:N:F:f       -
40 LD   HL,BC   1 N       -       N:d                 -
41 LD   HL,DE   1 N       -       N:d                 -
42 LD   HL,HL   1 N       -       N:d                 -
43 -    -       0 -       -       -                   -
44 LD   HL,IX   1 N       -       N:d                 -
45 LD   HL,IY   1 N       -       N:d                 -
46 LD   HL,SP   1 N       -       N:d                 -
47 LD   HL,(n)  2 EeN     -       2:d:E:e:N           -
48 LD   BC,HL   1 N       -       N:d                 -
49 LD   DE,HL   1 N       -       N:d                 -
4A LD   HL,HL   1 N       -       N:d                 -
4B -    -       0 -       -       -                   -
4C LD   IX,HL   1 N       -       N:d                 -
4D LD   IY,HL   1 N       -       N:d                 -
4E LD   SP,HL   1 N       -       N:d                 -
4F LD   (n),HL  2 NFf     -       2:d:N:F:f           -
50 PUSH BC      1 NwW     -       N:d:w:W             -
51 PUSH DE      1 NwW     -       N:d:w:W             -
52 PUSH HL      1 NwW     -       N:d:w:W             -
53 -    -       0 -       -       -                   -
54 PUSH IX      1 NwW     -       N:d:w:W             -
55 PUSH IY      1 NwW     -       N:d:w:W             -
56 PUSH AF      1 NwW     -       N:d:w:W             -
57 -    -       0 -       -       -                   -
58 POP  BC      1 nRrN    -       n:R:r:d:N           -
59 POP  DE      1 nRrN    -       n:R:r:d:N           -
5A POP  HL      1 nRrN    -       n:R:r:d:N           -
5B -    -       0 -       -       -                   -
5C POP  IX      1 nRrN    -       n:R:r:d:N           -
5D POP  IY      1 nRrN    -       n:R:r:d:N           -
5E POP  AF      1 nRrN    -       n:R:r:d:N           -
5F -    -       0 -       -       -                   -
60 ADD  A,(n)   2 EN      -       2:d:E:N             -
61 ADC  A,(n)   2 EN      -       2:d:E:N             -
62 SUB  A,(n)   2 EN      -       2:d:E:N             -
63 SBC  A,(n)   2 EN      -       2:d:E:N             -
64 AND  A,(n)   2 EN      -       2:d:E:N             -
