OP      MNEM    MODE    ~       #
--      ----    ----    -       -
00      -       -       0       0
01      NOP     INH     1       1
02      -       -       0       0
03      -       -       0       0
04      LSRD    INH     1       1
05      ASLD    INH     1       1
06      TAP     INH     1       1
07      TPA     INH     1       1
08      INX     INH     1       1
09      DEX     INH     1       1
0A      CLV     INH     1       1
0B      SEV     INH     1       1
0C      CLC     INH     1       1
0D      SEC     INH     1       1
0E      CLI     INH     1       1
0F      SEI     INH     1       1
10      SBA     INH     1       1
11      CBA     INH     1       1
12      -       -       0       0
13      -       -       0       0
14      -       -       0       0
15      -       -       0       0
16      TAB     INH     1       1
17      TAB     INH     1       1
18      XGDX    INH     3       1       prefetch
19      DAA     INH     3       1       prefetch
1A      SLP     INH     2       1
1B      ABA     INH     1       1
1C      -       -       0       0
1D      -       -       0       0
1E      -       -       0       0
1F      -       -       0       0
20      BRA     REL     3       2
21      BRN     REL     3       2
22      BHI     REL     3       2
23      BLS     REL     3       2
24      BCC     REL     3       2
25      BCS     REL     3       2
26      BNE     REL     3       2
27      BEQ     REL     3       2
28      BVC     REL     3       2
29      BVS     REL     3       2
2A      BPL     REL     3       2
2B      BMI     REL     3       2
2C      BGE     REL     3       2
2D      BLT     REL     3       2
2E      BGT     REL     3       2
2F      BLE     REL     3       2
30      TSX     INH     1       1
31      INS     INH     1       1
32      PULA    INH     4       1       prefetch
33      PULB    INH     4       1       prefetch
34      DES     INH     1       1
35      TXS     INH     1       1
36      PSHA    INH     4       1
37      PSHB    INH     4       1
38      PULX    INH     5       1       prefetch
39      RTS     INH     5       1
3A      ABX     INH     1       1
3B      RTI     INH     10      1
3C      PSHX    INH     5       1
3D      MUL     INH     8       1       prefetch
3E      WAI     INH     10      1       prefetch
3F      SWI     INH     12      1
40      NEGA    INH     1       1
41      -       -       0       0
42      -       -       0       0
43      COMA    INH     1       1
44      LSRA    INH     1       1
45      -       -       0       0
46      RORA    INH     1       1
47      ASRA    INH     1       1
48      ASLA    INH     1       1
49      ROLA    INH     1       1
4A      DECA    INH     1       1
4B      -       -       0       0
4C      INCA    INH     1       1
4D      TSTA    INH     1       1
4E      -       -       0       0
4F      CLRA    INH     1       1
50      NEGB    INH     1       1
51      -       -       0       0
52      -       -       0       0
53      COMB    INH     1       1
54      LSRB    INH     1       1
55      -       -       0       0
56      RORB    INH     1       1
57      ASRB    INH     1       1
58      ASLB    INH     1       1
59      ROLB    INH     1       1
5A      DECB    INH     1       1
5B      -       -       0       0
5C      INCB    INH     1       1
5D      TSTB    INH     1       1
5E      -       -       0       0
5F      CLRB    INH     1       1
60      NEG     IDX     6       2
61      AIM     IDX     7       2
62      OIM     IDX     7       2
63      COM     IDX     6       2
